pdf_path,relative_path,top_category,second_category,bytes,last_write_time,full_pypdf_status,full_pypdf_pages,full_pypdf_error,full_pypdf_elapsed_ms,current_exists,review_status,fitz_ok,fitz_pages,fitz_error,review_note
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_16.pdf,1.민사,기출,34101,2023-04-05T20:30:12,OK,1,,11054,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_17.pdf,1.민사,기출,33947,2023-04-06T00:30:40,OK,1,,96,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_18.pdf,1.민사,기출,34059,2023-04-06T00:59:06,OK,1,,104,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_19.pdf,1.민사,기출,33907,2023-04-06T17:41:50,OK,1,,119,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_20.pdf,1.민사,기출,37365,2023-03-27T23:58:32,OK,1,,295,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_21.pdf,1.민사,기출,33551,2023-04-06T22:01:12,OK,1,,13302,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_22.pdf,1.민사,기출,33537,2023-04-06T22:50:18,OK,1,,96,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_13.pdf,1.민사,기출,728169,2023-03-27T00:35:06,OK,40,,346,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_14.pdf,1.민사,기출,741578,2023-04-05T18:51:42,OK,35,,451,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_15.pdf,1.민사,기출,805356,2023-04-03T23:48:20,OK,36,,14963,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_16.pdf,1.민사,기출,1033261,2023-04-05T22:07:24,OK,34,,964,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_17.pdf,1.민사,기출,739620,2023-04-06T00:40:00,OK,38,,12936,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_18.pdf,1.민사,기출,723237,2023-04-06T01:11:46,OK,35,,289,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_19.pdf,1.민사,기출,880293,2023-04-06T17:54:12,OK,44,,10140,True,OK,,,,
